date,state,district,pincode,age_5_17_demo,age_17_plus_demo,age_0_5,age_5_17_enroll,age_17_plus_enroll,age_5_17,age_17_plus,enroll_rate_5_17,enroll_rate_17_plus,bio_completion_5_17,bio_completion_17_plus,low_enrollment_flag,biometric_gap_flag,priority_score
2025-03-01,Tamil Nadu,Coimbatore,641108,21,286,0.0,0.0,0.0,78.0,277.0,0.0,0.0,0.0,0.0,True,True,1.0
2025-03-01,Tamil Nadu,Coimbatore,641109,32,380,0.0,0.0,0.0,136.0,233.0,0.0,0.0,0.0,0.0,True,True,1.0
2025-03-01,Tamil Nadu,Coimbatore,641111,31,278,0.0,0.0,0.0,87.0,226.0,0.0,0.0,0.0,0.0,True,True,1.0
2025-03-01,Tamil Nadu,Coimbatore,641201,14,208,0.0,0.0,0.0,50.0,87.0,0.0,0.0,0.0,0.0,True,True,1.0
2025-03-01,Tamil Nadu,Coimbatore,641301,34,576,0.0,0.0,0.0,176.0,385.0,0.0,0.0,0.0,0.0,True,True,1.0
2025-03-01,Tamil Nadu,Coimbatore,641302,19,578,0.0,0.0,0.0,175.0,203.0,0.0,0.0,0.0,0.0,True,True,1.0
2025-03-01,Tamil Nadu,Coimbatore,641305,17,251,0.0,0.0,0.0,75.0,159.0,0.0,0.0,0.0,0.0,True,True,1.0
2025-03-01,Tamil Nadu,Coimbatore,641401,32,140,0.0,0.0,0.0,75.0,184.0,0.0,0.0,0.0,0.0,True,True,1.0
2025-03-01,Tamil Nadu,Coimbatore,641402,47,520,0.0,0.0,0.0,204.0,382.0,0.0,0.0,0.0,0.0,True,True,1.0
2025-03-01,Tamil Nadu,Coimbatore,641653,28,417,0.0,0.0,0.0,116.0,194.0,0.0,0.0,0.0,0.0,True,True,1.0
2025-03-01,Tamil Nadu,Coimbatore,641659,23,373,0.0,0.0,0.0,130.0,509.0,0.0,0.0,0.0,0.0,True,True,1.0
2025-03-01,Tamil Nadu,Coimbatore,641668,15,171,0.0,0.0,0.0,98.0,145.0,0.0,0.0,0.0,0.0,True,True,1.0
2025-03-01,Tamil Nadu,Coimbatore,641669,19,218,0.0,0.0,0.0,51.0,76.0,0.0,0.0,0.0,0.0,True,True,1.0
2025-03-01,Tamil Nadu,Coimbatore,642001,33,468,0.0,0.0,0.0,258.0,154.0,0.0,0.0,0.0,0.0,True,True,1.0
2025-03-01,Tamil Nadu,Coimbatore,642002,33,379,0.0,0.0,0.0,166.0,151.0,0.0,0.0,0.0,0.0,True,True,1.0
2025-03-01,Tamil Nadu,Coimbatore,642003,12,247,0.0,0.0,0.0,80.0,103.0,0.0,0.0,0.0,0.0,True,True,1.0
2025-03-01,Tamil Nadu,Coimbatore,642004,13,267,0.0,0.0,0.0,199.0,82.0,0.0,0.0,0.0,0.0,True,True,1.0
2025-03-01,Tamil Nadu,Coimbatore,642005,19,278,0.0,0.0,0.0,178.0,112.0,0.0,0.0,0.0,0.0,True,True,1.0
2025-03-01,Tamil Nadu,Coimbatore,642006,25,239,0.0,0.0,0.0,147.0,105.0,0.0,0.0,0.0,0.0,True,True,1.0
2025-03-01,Tamil Nadu,Coimbatore,642109,16,277,0.0,0.0,0.0,49.0,157.0,0.0,0.0,0.0,0.0,True,True,1.0
2025-03-01,Tamil Nadu,Coimbatore,642110,11,187,0.0,0.0,0.0,77.0,101.0,0.0,0.0,0.0,0.0,True,True,1.0
