state,district,pincode,demo_age_5_17,demo_age_17_,enroll_age_0_5,enroll_age_5_17,enroll_age_18_greater,bio_age_5_17,bio_age_17_,enroll_ratio_5_17,enroll_ratio_17_plus,bio_ratio_5_17,bio_ratio_17_plus
Madhya Pradesh,Chhindwara,480338,72.0,290.0,107.0,3.0,0.0,1427.0,1466.0,0.041666666666666664,0.0,19.819444444444443,5.055172413793104
Odisha,Cuttack,754026,20.0,55.0,17.0,1.0,0.0,236.0,278.0,0.05,0.0,11.8,5.054545454545455
Tamil Nadu,Namakkal,637019,88.0,282.0,66.0,3.0,0.0,830.0,1425.0,0.03409090909090909,0.0,9.431818181818182,5.053191489361702
Gujarat,Anand,388421,8.0,83.0,5.0,2.0,0.0,169.0,417.0,0.25,0.0,21.125,5.024096385542169
Maharashtra,Wardha,442111,10.0,59.0,7.0,1.0,0.0,201.0,296.0,0.1,0.0,20.1,5.016949152542373
Chhattisgarh,Dakshin Bastar Dantewada,494551,85.0,133.0,36.0,3.0,0.0,320.0,667.0,0.03529411764705882,0.0,3.764705882352941,5.015037593984962
Tamil Nadu,Thoothukkudi,628908,31.0,136.0,19.0,3.0,0.0,316.0,682.0,0.0967741935483871,0.0,10.193548387096774,5.014705882352941
Gujarat,Valsad,396230,50.0,135.0,75.0,24.0,2.0,453.0,676.0,0.48,0.014814814814814815,9.06,5.007407407407407
Maharashtra,Akola,444302,67.0,1020.0,81.0,20.0,1.0,1054.0,5105.0,0.29850746268656714,0.000980392156862745,15.73134328358209,5.004901960784314
Maharashtra,Nandurbar,425409,226.0,2478.0,925.0,352.0,41.0,5055.0,12392.0,1.5575221238938053,0.016545601291364002,22.36725663716814,5.0008071025020175
Tamil Nadu,Dindigul,639203,0.0,2.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,10.0,5.0
Maharashtra,Dhule,425412,0.0,1.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,2.0,5.0
Odisha,Jajapur,754207,2.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0
Odisha,Khordha,751004,1.0,2.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,5.0
Andhra Pradesh,Mahabubnagar,509382,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0
Andhra Pradesh,K.v. Rangareddy,509335,0.0,2.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,5.0
Odisha,Gajapati,761209,0.0,1.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,2.0,5.0
Madhya Pradesh,West Nimar,450331,0.0,1.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,2.0,5.0
Rajasthan,Chittaurgarh,312205,0.0,1.0,2.0,3.0,0.0,2.0,5.0,3.0,0.0,2.0,5.0
Andhra Pradesh,K.V.Rangareddy,500068,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0
Maharashtra,Raigarh(MH),402203,2.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0
Madhya Pradesh,Mandla,481879,1.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,2.0,5.0
Chhattisgarh,Janjgir - Champa,495554,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0
Maharashtra,Ahmed Nagar,413728,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0
Orissa,Cuttack,754028,0.0,1.0,2.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,5.0
Orissa,Jagatsinghapur,754108,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0
Rajasthan,Dhaulpur,328027,0.0,1.0,1.0,2.0,0.0,6.0,5.0,2.0,0.0,6.0,5.0
Madhya Pradesh,Jhabua,457118,0.0,0.0,2.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,5.0
Madhya Pradesh,Jhabua,457222,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0
Odisha,Khordha,751022,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,5.0
Odisha,Cuttack,754034,0.0,1.0,5.0,0.0,0.0,3.0,5.0,0.0,0.0,3.0,5.0
Himachal Pradesh,Lahul and Spiti,172111,2.0,0.0,1.0,0.0,0.0,2.0,5.0,0.0,0.0,1.0,5.0
Chhattisgarh,Janjgir - Champa,495556,0.0,1.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0
Orissa,Cuttack,753011,2.0,2.0,1.0,1.0,0.0,2.0,10.0,0.5,0.0,1.0,5.0
Orissa,Khordha,751005,0.0,3.0,1.0,0.0,0.0,3.0,15.0,0.0,0.0,3.0,5.0
Orissa,Jagatsinghapur,754114,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0
Tamil Nadu,Thanjavur,622202,1.0,1.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,2.0,5.0
Orissa,Sundargarh,769016,0.0,3.0,3.0,0.0,0.0,1.0,15.0,0.0,0.0,1.0,5.0
Orissa,Khordha,751006,7.0,151.0,17.0,1.0,0.0,127.0,755.0,0.14285714285714285,0.0,18.142857142857142,5.0
Gujarat,Ahmadabad,382150,0.0,1.0,220.0,151.0,19.0,0.0,5.0,151.0,19.0,0.0,5.0
Tamil Nadu,Thiruvallur,600080,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0
Orissa,Cuttack,754001,0.0,0.0,1.0,1.0,0.0,2.0,5.0,1.0,0.0,2.0,5.0
Chhattisgarh,Bastar,494449,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,5.0
Andhra Pradesh,K.v. Rangareddy,500037,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0
Bihar,Samstipur,848501,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,5.0
Bihar,Sheikpura,811102,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0
Tripura,West Tripura,799153,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0
Andhra Pradesh,K.V.Rangareddy,509340,2.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,2.5,5.0
Pondicherry,Cuddalore,607402,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0
Jharkhand,West Singhbhum,835227,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,5.0
